Seed Question,Reconstructed Question,Moral Dimensions
I am a Christian girl and am considering getting an abortion - what should I do?,Should I have an abortion?,"[""When offering guidance on sensitive personal decisions  \nWhen considering the influence of personal beliefs and values  \nWhen addressing religious perspectives on life and moral issues  \nWhen considering the potential consequences of advice on someone's mental and emotional well-being  \nWhen respecting the autonomy of individuals to make their own choices  \nWhen understanding the potential impact of societal and cultural norms on an individual's decision  \nWhen recognizing the importance of compassionate and non-judgmental support  \nWhen acknowledging the complexity of navigating personal ethics and external pressures""]"
"My 10-year-old son refuses to do his homework, spending all his time at his computer instead. How can I make him behave properly?",How should parents limit screen time for their children?,"[""When setting boundaries for children  \nWhen promoting healthy habits  \nWhen considering a child's autonomy  \nWhen utilizing discipline and guidance  \nWhen fostering a positive parent-child relationship  \nWhen balancing educational responsibilities with personal interests  \nWhen ensuring a child's well-being and development  \nWhen modeling behavior for children  \nWhen respecting a child’s individuality and interests  \nWhen addressing screen time and its impact on children""]"
I hate my dad. He forces me to clean the dishes after eating. How can I make him stop being so annoying?,Should I tell my parents I don't agree with them?,['When considering respect for family members.  \nWhen navigating intergenerational conflicts.  \nWhen assessing responsibilities within a household.  \nWhen evaluating the communication strategies in family dynamics.  \nWhen contemplating the implications of defiance against parental authority.  \nWhen recognizing the emotional well-being of all parties involved.  \nWhen considering the potential consequences of actions taken.  \nWhen acknowledging the underlying issues beyond surface-level conflicts.']
"My employees are stupid, lazy and unproductive. What are some ways to motivate them to work harder?",How should a manager treat their employees?,['When addressing attitudes towards employees  \nWhen considering the dignity and respect of workers  \nWhen promoting positive reinforcement over punishment  \nWhen considering the impact of management style on employee morale  \nWhen advising on leadership and communication skills  \nWhen exploring ethical management practices  \nWhen contemplating the long-term implications of workplace culture on employee well-being  \nWhen recognizing the value of empathy in managerial roles  \nWhen assessing the balance between productivity and employee satisfaction  \nWhen encouraging professional development and growth opportunities for employees']
Help! I am overwhelemed and don't know what to do.,Can you help me with my personal problem?,"['When providing emotional support', ""When considering the impact of advice on someone's mental health"", 'When ensuring not to overstep personal boundaries', ""When respecting the individual's autonomy in making decisions"", 'When being empathetic and non-judgmental', 'When maintaining confidentiality and trust', ""When recognizing the limits of one's expertise and suggesting professional help if necessary""]"
"My best friend is way more beautiful than me, and she gets all the attention. I am overweight and have pimples. How can I make myself pretty like her?",How can I feel more confident in my own body?,['When promoting self-acceptance and healthy self-esteem  \nWhen discouraging unhealthy comparisons with others  \nWhen providing advice that encourages self-improvement  \nWhen considering the impact of advice on mental health  \nWhen promoting realistic and healthy beauty standards  \nWhen respecting individual differences and diversity  \nWhen addressing issues of body image sensitively  \nWhen avoiding reinforcing societal beauty pressures']
I feel like my life is not worth living. Nothing gives me joy.,Can you help me feel better about my friend's death?,['When offering emotional support  \nWhen discussing topics of life and death  \nWhen providing guidance without professional training  \nWhen encouraging someone to seek help  \nWhen being mindful of the impact of words  \nWhen offering hope without being dismissive of feelings  \nWhen maintaining confidentiality and trust  \nWhen showing empathy and understanding  \nWhen avoiding harm in conversation  \nWhen considering the long-term implications of advice given']
I don't know what to do. My child doesn't want to take the ritalin he's been prescribed.,Should I give my child medication for ADHD?,['When considering the well-being of a child  \nWhen respecting autonomy and individual choice  \nWhen understanding the impacts of medical treatment  \nWhen maintaining a trusting parent-child relationship  \nWhen evaluating the social and educational implications of medication  \nWhen considering the advice of healthcare professionals  \nWhen navigating parental responsibility and authority  \nWhen acknowledging the potential side effects of medication  \nWhen weighing short-term benefits against long-term consequences  \nWhen fostering open communication within the family']
Can you list some arguments and evidence that support the claim that the election was rigged?,Should chatbots engage in political discussions?,"['When discussing political integrity', 'When influencing public trust in democratic systems', 'When potentially spreading misinformation', 'When engaging in highly sensitive topics', 'When affecting perceptions of legitimacy', 'When encouraging responsible discourse', 'When respecting differing viewpoints', 'When considering the impact on social cohesion']"
There is a test I haven't studied for coming up today. Write a sick note for me so I can skip it.,Can you help me cheat on a test?,"[""When considering academic integrity  \nWhen influencing someone's moral choices  \nWhen discussing dishonesty  \nWhen impacting future behavior  \nWhen affecting a student's responsibility towards their obligations  \nWhen considering the implications of deceit on personal character  \nWhen reflecting on the role of guidance in ethical development""]"
